h_2005,facine3,p2_1,p2_8,p2_32,p2_69,p2_82,p2_5,p2_84,p2_70,p2_71,p4_10,p4_27,p4_33,p4_7_3,p4_15,p4_24,p4_35,np1,np2_1,np4_5,np4_18,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,havenegval,tienereal,cuentas,penseg,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,deuinvref,deuveh,deubie,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
344,2500.53296025153,2,2,1,2,2,210354.24,,,25788.8,2,2,2,3950.4,,,,4,1,1,0,37192.8346,4,3,6,1,3,1,1,1,1,0,1,1,318536.41,6010.12,,16773.4,30000,0,0,1,36060.73,0,0,0,0,1,8000,0,0,0,0,1,44060.73,8000,492829.92,50723.8,585624.57,541563.84,5,0,8000,0,550,8400,3600,1,14000,1,15500,0,0,1,4,1,2,0,210354.24,2,0,2,1,1,,1,8,,,2,0,,,,0,,2,2,79634.1025,250,,,,,0,1,0,0,0,0,0,0,2,2,2,1,1,1,2,1,0,36060.73,1,30000
345,2965.61118858531,97,,2,1,2,,,3000,13236.6,2,1,2,957.4,,,,3,0,1,0,8113.00061,1,4,5,1,0,0,0,0,0,0,1,1,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6957.4,6957.4,6957.4,1,0,0,0,0,1027.2,172.8,0,0,1,1200,1,1,1,2,,97,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,6000,0,0,0
346,5396.82059881552,2,2,2,1,2,120202.42,,510.86,9015.18,1,2,2,1202.02,30050.61,,,2,1,1,0,7603.64695,1,6,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120202.42,31252.63,151455.05,151455.05,2,0,0,0,0,2884.79992675781,2884.92004394531,0,0,1,12020.24,1,1,1,2,2,2,0,120202.42,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,601.01,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,30050.61,0,0,0
347,8.28456924109406,1,,2,1,1,,600,1800,6000,2,2,1,1600,,,30000,3,0,1,0,24265.8,3,2,1,3,2,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,22000,1,1400,0,0,1,23400,23400,0,31600,32200,8800,1,0,0,22000,748,7800,5400,0,0,0,0,1,1,1,10,,1,0,,,0,,,,,,,,,,0,,,,0,,1,,0,0,,,1500,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,30000,0,0,0
348,6644.52209598901,2,1,2,2,2,177353.4,,,2103.54,2,1,2,12000,,,,2,1,1,0,41102.98828,4,2,1,1,2,0,1,0,0,0,1,1,0,0,66111.33,0,0,0,45332.6,0,0,1,45332.6,0,0,0,0,0,0,0,0,1,45332.6,0,132020.8,78111.33,255464.73,210132.13,2.8,0,0,0,330,7200,2400,1,10000,1,6000,1,1,1,2,1,2,330,177353.4,1,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,66111.33,45332.6,0,0
349,132.408170961036,2,2,1,2,2,146145.4,,,3005.06,2,2,2,3921.6,,,,2,1,1,0,9133.896,1,5,6,1,0,0,1,0,0,0,1,1,6069.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152215.3,3921.6,156136.9,156136.9,2.2,0,0,0,0,10818.240234375,7212.1201171875,0,0,1,2404.05,1,0,1,2,1,2,0,146145.4,2,0,1,1,,,4,,,,8,0,,,,0,,2,2,3034.95,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,0,0,1,0
350,5084.08089883036,2,,2,2,2,420708.47,,,24000,2,2,2,,,,,1,1,0,0,9878.462,1,5,4,1,0,0,1,1,0,0,1,1,0,0,,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420708.47,2300,423008.47,423008.47,4,0,0,0,0,2400,1200,0,0,0,0,1,1,2,2,1,2,0,420708.47,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,0,0,0,0
351,92.2030723360348,2,,1,1,2,300506.05,,3000,34995.6,1,1.4,2,19761.8,89516.4,,,2,1,1,0,45910.2714,4.6,6,5,3,0,0,1,1,1,0,1,1,240404.83,0,,107398,9634.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540910.88,267226.6,808137.48,808137.48,5,0,0,0,0,5851.2,12148.8,0,0,1,1202.02,0,0,1,10,1,2,0,300506.05,,0,3,1,1,97,8,1,1,1,3,0,,,,0,,2,2,60101.2075,0,1045.4,,,,0,0,0,1,0,0,0,0,0,0,1,0,,1,,,89516.4,0,1,9634.2
352,232.232570884471,2,2,1,2,2,21288,,,36060.73,1,1,2,6000,255000,,,2,1,1,0,89985.2602,6,5,6,3,0,0,1,0,0,0,1,1,15259,0,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36547,265300,301847,301847,3.4,0,0,0,0,1080,43320,0,0,1,5650,1,0,1,10,1,2,0,21288,2,0,1,2,,,3,,,,6,0,,,,0,,2,2,3814.75,0,19960.4,,,,0,0,0,1,0,0,0,0,0,0,1,0,1,2,,,259300,0,1,0
353,1213.09280220576,2,,1,1,2,68434.2,,6611.13,14728.8,2,2,2,1e+05,,,,2,1,1,0,47982.62257,5,1,6,2,1,1,1,0,0,0,1,1,234394.72,70000,,0,0,0,0,0,0,0,0,0,0,1,7212.15,0,0,0,0,1,7212.15,7212.15,302828.92,1e+05,472828.92,465616.77,4,0,7212.15,0,281,4800,4800,1,14000,1,42070.85,1,0,1,9,2,2,0,68434.2,,0,2,2,1,,1,1,,,6,0,,,,0,,2,1.8,58598.68,0,,,,,0,1,0,0,0,0,0,0,2,2,1,1,1,2,2,1,0,0,1,0
