h_number,facine3,p2_1,p2_5,p2_8,p2_32,p2_69,p2_70,p2_71,p2_82,p2_84,p4_7_3,p4_10,p4_15,p4_24,p4_27,p4_33,p4_35,renthog,percrent,bage,nsitlabdom,neducdom,np2_1,nnumadtrab,np1,valhog,havenegval,tienereal,np4_5,np4_18,cuentas,penseg,sideuda,tienefin,tiene,otraspr,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,otrasd,potrasd,adeuda,vdeuda,actreales,actfinanc,riquezabr,riquezanet,percriq,deuveh,deubie,deuinvref,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
1554,339.409582178119,2,120000,,1,1,420,24000,1,3000,36060,1,21035,,2,2,,28542,4,4,5,2,1,1,4,0,0,1,1,0,0,0,0,1,1,120000,0,0,0,0,0,0,0,0,0,0,0,1,10800,0,0,1,10800,240000,57095,300095,289295,4,0,10800,0,408,9000,10461.6,0,0,1,3000,1,0,1,8,3,2,0,120000,,0,1,2,,,1,,,,2,0,,,,0,,2,2,30000,0,120,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,21035,0,1,0
1555,212.477871369805,2,180000,,1,1,860.4,6000,2,,10437.8,2,,13986.6,2,2,,49698.2,4.8,6,5,3,1,0,2,0,0,1,1,1,0,0,0,1,1,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270000,24424.4,294424.4,294424.4,4.2,0,0,0,0,10800,7200,0,0,1,6000,1,0,1,12,1,2,0,180000,,0,1,2,,,5,,,,4,120,1411,,,0,,2,2,45000,0,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,13986.6,0,1,0
1556,374.702694144842,2,76779.6,,1,2,,18000,2,,7605,2,,,2,2,,32729.8,4,5,5,1,1,1,2,23642.6,1,1,1,0,0,1,0,1,1,150250,0,0,14618.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227029.6,22223.4,272895.6,272895.6,4.2,0,0,0,0,3600,7200,0,0,1,600,0,0,2,2,2,2,0,76779.6,,0,1,1,,,7,,,,3,0,,,,0,,2,2,37562.5,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,1,,,0,0,1,14618.4
1557,3066.33749698295,2,36000,,2,2,,6000,2,,6000,2,,,2,2,,18494,3,5,5,1,1,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,6000,42000,42000,2,0,0,0,0,3000,5400,0,0,1,6000,1,1,1,2,1,2,0,36000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
1558,6401.5253445397,2,114192,1,2,1,1800,3000,2,,1448.2,2,,,2,2,,53928.8,5,1,1,3,1,2,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,51000,0,0,1,51000,0,0,0,0,0,0,1,51000,63192,1448.2,115640.2,64640.2,2,0,0,0,289,4320,6480,1,1000,1,3800,1,1,1,10,1,2,289,114192,1,0,,,,,,,,,,0,,,,0,,1,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,51000,0,0
1559,7257.03886304331,2,360607,,1,1,1322,36060,1,12020,10217,1,21035,,2,2,,97311.6,6,4,1,3,1,2,5,0,0,1,1,0,0,1,0,1,1,267448,0,0,84140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628055,115392,755467,755467,5,0,0,0,0,14424,21636,1,721,1,24040,0,0,1,10,1,2,0,360607,,0,5,2,2,2,1,1,3,3,7,0,,,,0,,2,2,66862,0,234.8,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,21035,0,1,84140
1560,3404.64994885097,1,,,2,1,1800,9000,2,,200,2,,,2,2,,13007.4,2,2,1,1,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,1,0,0,0,0,2880,1440,0,0,1,300,1,1,2,4,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
1561,46.4607471553705,2,3e+05,2,1,2,,48000,2,,6000,1,60000,,1,2,,108976,6,4,4,1,1,2,5,0,0,1,1,0,1,1,0,1,1,190000,1e+05,12000,9900,0,0,0,0,0,0,0,0,0,0,1,36000,1,36000,490000,187900,677900,641900,5,0,36000,0,1075.2,18000,18000,0,0,1,30000,0,0,2,4,1,2,0,3e+05,2,0,2,1,1,,1,8,,,2,800,18000,,,0,,2,2,47500,0,3000,,,,0,0,0,0,0,0,1,0,0,0,,0,,1,,,160000,0,1,9900
1562,4616.92037278321,2,55549.2,2,2,2,,6000,2,,200,2,,,2,2,,6499.2,1,5,4,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55549.2,200,55749.2,55749.2,1.6,0,0,0,0,1548,852,0,0,0,0,1,1,2,2,1,2,0,55549.2,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,,,0,0,0,0
1563,3510.71434478028,2,176609.2,,2,1,960,12000,2,,870,2,,,2,2,,13357.2,1.8,5,5,1,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176609.2,870,177479.2,177479.2,3.6,0,0,0,0,2160,2880,0,0,0,0,1,1,1,2,1,2,0,176609.2,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
1564,4881.50342815125,2,108000,2,1,2,,9000,2,,3038.2,2,,,2,2,,31594,3.8,3,2,3,1,1,4,30000,1,1,1,0,0,0,0,1,1,36000,0,0,0,0,0,0,0,0,0,1,48000,0,0,1,15000,1,63000,144000,3038.2,177038.2,114038.2,3,0,0,63000,1891,3600,7200,0,0,1,6000,1,0,1,12,1,2,0,108000,2,0,1,1,,,4,,,,2,0,,,,0,,2,2,9000,0,,,,,0,1,0,0,0,0,0,0,2,2,1,1,,2,2,1,0,0,1,0
1565,157.072351085316,2,120202,2,1,2,,21035,2,,780,2,,,2,2,,41097.8,4.6,5,5,1,1,1,3,0,0,1,1,0,0,1,0,1,1,120202,0,0,9767.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240404,10547.8,250951.8,250951.8,4,0,0,0,0,7200,3720,0,0,1,15626,0,0,1,3,1,2,0,120202,2,0,1,1,,,1,,,,2,0,,,,0,,2,2,30050.5,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,1,,,0,0,1,9767.8
1566,5332.17254885849,2,84000,1,2,2,,9000,2,,1500,2,,,2,2,,12001,2,1,4,1,1,1,4,0,0,1,1,0,0,1,0,1,1,0,0,0,3757.8,0,16800,0,0,1,16800,0,0,0,0,0,0,1,16800,67200,5257.8,89257.8,72457.8,2,0,0,0,287.4,5400,1200,0,0,1,11400,0,1,2,2,1,2,287.4,84000,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,1,,,0,16800,0,3757.8
1567,2913.3585594241,2,90151,,2,2,,6000,2,,1803,2,,,2,2,,15764,2,5,5,2,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90151,1803,91954,91954,2,0,0,0,0,6480,2040,1,15025,1,14424,1,1,1,6,1,2,0,90151,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
1568,279.428434536895,2,150000,,1,2,,15000,2,,7727,2,,,2,2,,27599.4,3.4,6,5,3,1,0,1,0,0,1,1,0,0,0,0,1,1,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151680,7727,159407,159407,3.2,0,0,0,0,3360,1440,0,0,0,0,1,0,2,10,1,2,0,150000,,0,1,2,,,1,,,,2,0,,,,0,,2,2,3000,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,1,0
