h_2008,facine3,p2_69,p2_84,p2_70,p4_7_3,p4_15,p4_24,p4_35,p4_43,np1,np2_1,np2_82,np2_5,np2_8,np4_5,np4_10,np4_18,np4_33,np4_27,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,haveneg,havenegval,tienereal,cuentas,np5_1,seguro,penseg,cart_gest,valdeuhog,havedeuhog,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valor,valseg,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,multipr,sex,educ,p2_2,p2_1,pagopr_vivpr,np2_5.1,p2_8,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1,empre,auton,riquezafin,deuda_vivienda,s6_owner
1982,1189.10399282475,1,6710.8,10000,38626.2,65163.6,,14461.4,,2,1,1,360607,2,0.8,1,0,1,0,166897.5304,6,4,2,3,1,1,0.8,1,0,0,0,0,0,3293,0.4,0.4,1,1,175269.8,81271.6,,0,0,0,0,3293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535876.8,121544.2,745403.4,745403.4,4.8,0,20640,15360,0,0,1,30468.2,1,1,12,1,2,0,360607,2,0,1,1,,,1,,,,2,0,,,,0,,2,2,43817.45,0,1906.4,,494.8,,1,1,0,0,0,0,0,0,2,2,1,1,,2,1,1,79625,0,1
1983,45.2122392053848,2,,,3e+05,,,,,2,1,0,300506,2,1,0,0,0,0,16625.0352,2,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,300506,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601012,3e+05,901012,901012,5,0,4137.6,7862.4,0,0,1,20000,1,1,4,1,2,0,300506,2,0,1,1,,,1,,,,2,0,,,,0,,2,2,75126.5,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,1
1984,10.9225762063426,1,,5406.4,8715.6,19002.6,7565914.4,,138641.2,3,1,0,1473643.2,0,1,1,1,0,1,175471.8912,6,3,2,2,1,1,1,1,1,1,0,1,1,0,0,0,1,1,2460446.6,22405790.8,3615073.6,58328.6,33343.8,0,33343.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3934089.8,11439019.8,37778900.4,37778900.4,5,0,10411.2,29270.4,0.2,783,1,16942.8,1,2,6,1,2,0,1473643.2,,0,3,1,2,3,3,9,3,3,1,50000,67460,,,0,,2,2,615111.65,0,348,158519.2,,88229.2,0,1,0,0,0,0,0,0,1,11,1,1,,1,1,1,11199990.6,0,1
1985,10437.0669131724,1,2000,700,1800,,,,,4,1,1,240405,1,1,0,0,0,0,25100,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,83327,,0,0,0,0,0,10818,0,0,1,10818,0,0,0,0,0,0,0,0,1,10818,0,229587,1800,327532,316714,3.2,500,7200,1200,0,0,1,5000,0,2,4,1,2,500,240405,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,0,3,0,10818,0
1986,2476.99415074496,2,,,36061,,,,,3,1,0,210354,1,1,0,0,0,0,26104,3,2,1,2,2,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,,0,6000,0,6000,0,30000,0,0,1,30000,0,0,0,0,0,0,0,0,1,30000,0,180354,42061,252415,222415,3,230,7200,12000,0,0,1,6010,0,1,6,1,2,230,210354,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,0,,0,30000,0
1987,57.2964814297876,2,3724.6,,3000,90115.2,,,,2,1,1,480810,0,1,1,0,0,0,20787.82,2.6,6,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,690962,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171772,93115.2,1268611.8,1268611.8,5,0,4200,1800,0,0,1,300,1,2,4,2,2,0,480810,,0,5,2,2,2,1,1,1,1,2,1040,3768.8,,,0,,2,2,172740.5,0,3292.6,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,0,,90115.2,0,1
1988,4328.91061644358,2,,,4000,72,,,,2,1,0,120000,0,1,1,0,0,0,23493.6,3,5,5,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,19000,30000,,20000,3600,0,3600,0,0,0,0,0,0,0,0,1,10000,0,0,0,0,1,10000,10000,139000,27672,196672,186672,3,204,4800,4800,0,0,1,8000,1,1,2,2,2,0,120000,,0,5,2,2,2,3,3,3,3,1,0,,,,0,,2,2,4750,0,0,,,,0,0,0,1,0,0,0,0,0,0,1,0,,1,0,1,72,0,1
1989,3172.05416748277,2,,,6000,,,,,2,1,0,210354,1,1,0,0,0,0,17867.184,2,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,30000,0,0,1,30000,0,0,0,0,0,0,0,0,1,30000,0,180354,6000,216354,186354,3,450,7200,7200,0,0,1,3000,0,1,2,1,2,450,210354,1,0,,,,,,,,,,0,,,,0,,2,1,0,0,,,,,0,0,0,0,1,0,0,0,0,0,1,0,,2,0,,0,30000,0
1990,1042.66093732095,2,,,3000,,,,,3,1,0,240000,0,1,0,0,0,0,27172.256,3,6,5,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,,0,4400,0,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,7400,247400,247400,3,0,10320,4080,0,0,1,1000,0,1,6,1,2,0,240000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,1,0,,0,0,0
1991,11369.3038463336,2,,,8000,,,,,2,0,0,,0,1,0,0,0,0,32178.2,4,2,1,3,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,1,0,7200,4800,0,0,1,6000,0,1,10,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,0,0
1992,480.039622434163,2,,,1500,20000,,,,2,1,0,300506,0,1,1,0,0,0,11445.6,1,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,60101,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360607,21500,382107,382107,4,0,3600,1200,0,0,0,0,1,1,2,1,2,0,300506,,0,1,1,,,1,,,,2,0,,,,0,,2,2,15025.25,0,200,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,20000,0,1
1993,2344.2634238022,1,,300,1000,,,,,2,1,0,252425,1,1,0,0,0,0,35642,4,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,264446,0,0,1,264446,0,0,1,9500,0,0,0,0,1,273946,9500,-12021,1000,253425,-20521,1,1410,2064,1176,0,0,1,2000,0,2,4,1,2,1200,252425,1,0,,,,,,,,,,0,,,,0,,1,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,264446,0
